Maths_T1,Maths_T2,Maths_T3,Maths_T4,Maths_Advanced,Phys_T1,Phys_T2,Phys_T3,Phys_T4,Physics,Hist_T1,Hist_T2,Hist_T3,Hist_T4,Modern_History,Software_Engineering_T1,Software_Engineering_T2,Software_Engineering_T3,Software_Engineering_T4,Software_Engineering_Final,Student_ID
23,22,24.0,23,92.0,21,23.0,22,23,89.0,15,14,16,15.0,60.0,22.0,24,23,22,91.0,2f8e4f870792
24,24,23.0,25,96.0,23,24.0,25,24,96.0,22,24,23,23.0,92.0,24.0,25,24,24,97.0,3e8ce2ac359e
12,14,13.0,15,54.0,14,15.0,14,15,58.0,23,22,24,23.0,92.0,11.0,12,10,11,44.0,07deaafa141b
18,17,19.0,18,72.0,17,18.0,19,16,70.0,18,17,19,18.0,72.0,18.0,19,17,18,72.0,b02473fc7ef6
20,21,20.0,22,83.0,21,20.0,22,19,82.0,16,17,18,16.0,67.0,21.0,22,20,22,85.0,83d5cf5c8386
10,12,11.0,12,45.0,11,10.0,12,11,44.0,12,14,13,12.0,51.0,11.0,12,11,13,47.0,6348de7c565f
17,18,16.0,17,68.0,16,17.0,18,16,67.0,19,18,20,19.0,76.0,17.0,18,16,18,69.0,f32f17428c6d
22,23,21.0,22,88.0,23,22.0,24,22,91.0,14,15,13,16.0,58.0,22.0,23,22,21,88.0,ede4fef0f2f9
14,13,15.0,14,56.0,12,14.0,13,14,53.0,24,23,25,24.0,96.0,12.0,11,12,11,46.0,127d1bf58d79
19,19,18.0,19,75.0,18,19.0,20,18,75.0,17,18,17,19.0,71.0,19.0,18,19,20,76.0,634b085f0319
16,17,18.0,17,68.0,15,16.0,17,15,63.0,22,23,21,22.0,88.0,16.0,17,18,16,67.0,986722d7a0c6
25,24,25.0,24,98.0,24,25.0,24,25,98.0,18,19,17,18.0,72.0,25.0,24,25,24,98.0,f3ded88e5762
11,10,12.0,11,44.0,10,11.0,12,10,43.0,11,12,10,13.0,46.0,12.0,11,10,12,45.0,2e4eb3101410
15,14,16.0,15,60.0,14,15.0,16,14,59.0,18,19,17,18.0,72.0,15.0,16,14,15,60.0,34b1329dd30f
20,19,21.0,20,80.0,19,20.0,19,21,79.0,12,13,11,12.0,48.0,21.0,20,19,21,81.0,ac2c53e4ca6e
21,21,22.0,21,85.0,22,21.0,21,22,86.0,21,22,21,21.0,85.0,22.0,21,23,21,87.0,a2c9b993fbed
13,12,14.0,13,52.0,14,13.0,12,14,53.0,16,17,15,16.0,64.0,13.0,14,12,13,52.0,ea6698a98068
23,24,22.0,23,92.0,22,23.0,24,23,92.0,10,11,12,10.0,43.0,24.0,23,22,24,93.0,c1839f65f6c3
18,19,17.0,18,72.0,19,18.0,18,17,72.0,15,16,17,15.0,63.0,18.0,19,18,17,72.0,942ed3a371fa
21,20,22.0,21,84.0,20,21.0,22,20,83.0,18,19,18,17.0,72.0,22.0,21,20,22,85.0,6790afe99a32
10,12,11.0,10,43.0,11,10.0,12,11,44.0,21,22,20,22.0,85.0,11.0,12,11,11,45.0,9cd4775ab711
